Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3034_1x20mm,1,Battery_Cell,
C1,CP_Radial_D8.0mm_P5.00mm,1,C_Polarized,
M1,PinHeader_1x20_P2.54mm_Vertical,1,Motor_DC,
"Q1, Q2",TO-92_Inline,2,2N3904,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,68k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,15k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,680,
RV1,Potentiometer_Vishay_T73YP_Vertical,1,R_Potentiometer,
SW1,SW_PUSH_6mm,1,SW_Push,
